X,Y,STATE,NAME,LAT,LON,Start_Time,Full_Time,End_Time,ObjectId
-86.238679,41.700283,IN,Notre Dame,41.700283,-86.238679,2024/02/18 17:53:20+00,2024/02/18 19:09:30+00,2024/02/18 20:23:40+00,7721
-90.909395,40.746222,IL,Stronghurst,40.746222,-90.909395,2024/02/18 17:45:40+00,2024/02/18 19:02:00+00,2024/02/18 20:17:20+00,7722
-88.528977,41.955732,IL,Virgil,41.955732,-88.528977,2024/02/18 17:50:40+00,2024/02/18 19:06:30+00,2024/02/18 20:20:50+00,7723
-90.707258,42.498901,IA,Dubuque,42.498901,-90.707258,2024/02/18 17:48:40+00,2024/02/18 19:03:50+00,2024/02/18 20:18:00+00,7724
-86.591069,40.279292,IN,Jefferson,40.279292,-86.591069,2024/02/18 17:50:50+00,2024/02/18 19:07:50+00,2024/02/18 20:22:50+00,7725
-86.186749,40.965432,IN,Nyona Lake,40.965432,-86.186749,2024/02/18 17:52:20+00,2024/02/18 19:09:00+00,2024/02/18 20:23:30+00,7726
-89.228939,41.643044,IL,Sublette,41.643044,-89.228939,2024/02/18 17:49:10+00,2024/02/18 19:05:10+00,2024/02/18 20:19:50+00,7727
-90.210446,39.952942,IL,Virginia,39.952942,-90.210446,2024/02/18 17:45:20+00,2024/02/18 19:02:10+00,2024/02/18 20:18:00+00,7728
-92.973652,42.752196,IA,Dumont,42.752196,-92.973652,2024/02/18 17:46:20+00,2024/02/18 19:01:00+00,2024/02/18 20:14:50+00,7729
-85.696087,38.332415,IN,Jeffersonville,38.332415,-85.696087,2024/02/18 17:49:30+00,2024/02/18 19:07:20+00,2024/02/18 20:23:00+00,7730
-87.192504,41.628661,IN,Ogden Dunes,41.628661,-87.192504,2024/02/18 17:52:00+00,2024/02/18 19:08:00+00,2024/02/18 20:22:30+00,7731
-88.448896,41.768621,IL,Sugar Grove,41.768621,-88.448896,2024/02/18 17:50:30+00,2024/02/18 19:06:30+00,2024/02/18 20:20:50+00,7732
-88.158743,42.330324,IL,Volo,42.330324,-88.158743,2024/02/18 17:51:40+00,2024/02/18 19:07:20+00,2024/02/18 20:21:20+00,7733
-93.702135,43.10822,IA,Duncan,43.10822,-93.702135,2024/02/18 17:46:10+00,2024/02/18 19:00:20+00,2024/02/18 20:13:50+00,7734
-85.060468,41.702213,IN,Jimmerson Lake,41.702213,-85.060468,2024/02/18 17:55:00+00,2024/02/18 19:11:10+00,2024/02/18 20:25:10+00,7735
-85.384724,41.699187,IN,Ontario,41.699187,-85.384724,2024/02/18 17:54:30+00,2024/02/18 19:10:40+00,2024/02/18 20:24:40+00,7736
-88.608949,39.595166,IL,Sullivan,39.595166,-88.608949,2024/02/18 17:47:00+00,2024/02/18 19:04:10+00,2024/02/18 20:20:00+00,7737
-87.925147,42.450687,IL,Wadsworth,42.450687,-87.925147,2024/02/18 17:52:10+00,2024/02/18 19:07:40+00,2024/02/18 20:21:40+00,7738
-93.996792,42.469788,IA,Duncombe,42.469788,-93.996792,2024/02/18 17:44:50+00,2024/02/18 18:59:20+00,2024/02/18 20:13:20+00,7739
-87.396812,40.358407,IN,Judyville,40.358407,-87.396812,2024/02/18 17:49:50+00,2024/02/18 19:06:40+00,2024/02/18 20:21:50+00,7740
-86.194789,40.694735,IN,Onward,40.694735,-86.194789,2024/02/18 17:52:00+00,2024/02/18 19:08:40+00,2024/02/18 20:23:30+00,7741
-89.749591,38.59567,IL,Summerfield,38.59567,-89.749591,2024/02/18 17:43:50+00,2024/02/18 19:01:30+00,2024/02/18 20:17:50+00,7742
