STATE,NAME,LAT,LON,Start_Partial,Start_Total,End_Total,End_Partial,Midpoint_Totality,ObjectId,TestTime,Total_Duration
PA,Springboro,41.800594,-80.371724,2024/02/18 18:02:00+00,2024-02-18 19:15:57+00:00,2024-02-18 19:19:22+00:00,2024/02/18 20:30:30+00,2024/02/18 19:17:40+00,2518,01:02:00,03:25
TX,Hollywood Park,29.599214,-98.485542,2024/02/18 17:15:00+00,2024-02-18 18:33:42+00:00,2024-02-18 18:35:26+00:00,2024/02/18 19:55:50+00,2024/02/18 18:34:34+00,2519,12:15:00,01:44
OH,Payne,41.079818,-84.727249,2024/02/18 17:54:40+00,2024-02-18 19:10:11+00:00,2024-02-18 19:12:03+00:00,2024/02/18 20:25:20+00,2024/02/18 19:11:07+00,2520,12:54:40,01:52
OH,Stow,41.176261,-81.436523,2024/02/18 17:59:40+00,2024-02-18 19:14:18+00:00,2024-02-18 19:17:21+00:00,2024/02/18 20:29:10+00,2024/02/18 19:15:50+00,2521,12:59:40,03:03
TX,Hondo,29.354242,-99.161846,2024/02/18 17:13:40+00,2024-02-18 18:31:22+00:00,2024-02-18 18:34:50+00:00,2024/02/18 19:54:30+00,2024/02/18 18:33:06+00,2522,12:13:40,03:28
TX,Blossom,33.663272,-95.383725,2024/02/18 17:27:20+00,2024-02-18 18:44:12+00:00,2024-02-18 18:48:22+00:00,2024/02/18 20:05:50+00,2024/02/18 18:46:17+00,2523,12:27:20,04:10
PA,Starbrick,41.841445,-79.21284,2024/02/18 18:03:40+00,2024-02-18 19:18:35+00:00,2024-02-18 19:19:51+00:00,2024/02/18 20:31:40+00,2024/02/18 19:19:13+00,2524,01:03:40,01:16
OH,Streetsboro,41.239608,-81.345862,2024/02/18 17:59:50+00,2024-02-18 19:14:27+00:00,2024-02-18 19:17:34+00:00,2024/02/18 20:29:10+00,2024/02/18 19:16:00+00,2525,12:59:50,03:07
TX,Honey Grove,33.588095,-95.908622,2024/02/18 17:26:20+00,2024-02-18 18:43:30+00:00,2024-02-18 18:47:07+00:00,2024/02/18 20:04:50+00,2024/02/18 18:45:18+00,2526,12:26:20,03:37
TX,Blue Mound,32.854257,-97.338369,2024/02/18 17:23:00+00,2024-02-18 18:40:54+00:00,2024-02-18 18:42:54+00:00,2024/02/18 20:01:50+00,2024/02/18 18:41:54+00,2527,12:23:00,02:00
OH,Pemberville,41.409592,-83.458762,2024/02/18 17:56:50+00,2024-02-18 19:11:34+00:00,2024-02-18 19:14:44+00:00,2024/02/18 20:26:50+00,2024/02/18 19:13:09+00,2528,12:56:50,03:10
PA,Sugar Grove,41.983663,-79.339587,2024/02/18 18:03:40+00,2024-02-18 19:17:50+00:00,2024-02-18 19:20:26+00:00,2024/02/18 20:31:30+00,2024/02/18 19:19:08+00,2529,01:03:40,02:36
OH,Strongsville,41.312955,-81.83169,2024/02/18 17:59:10+00,2024-02-18 19:13:28+00:00,2024-02-18 19:17:12+00:00,2024/02/18 20:28:40+00,2024/02/18 19:15:20+00,2530,12:59:10,03:44
TX,Hooks,33.470695,-94.286542,2024/02/18 17:28:30+00,2024-02-18 18:46:08+00:00,2024-02-18 18:49:29+00:00,2024/02/18 20:07:20+00,2024/02/18 18:47:48+00,2531,12:28:30,03:21
TX,Blue Ridge,33.298031,-96.398125,2024/02/18 17:25:00+00,2024-02-18 18:42:24+00:00,2024-02-18 18:45:46+00:00,2024/02/18 20:03:50+00,2024/02/18 18:44:05+00,2532,12:25:00,03:22
OH,Peninsula,41.233971,-81.553175,2024/02/18 17:59:30+00,2024-02-18 19:14:01+00:00,2024-02-18 19:17:22+00:00,2024/02/18 20:29:00+00,2024/02/18 19:15:42+00,2533,12:59:30,03:21
PA,Titusville,41.627223,-79.669847,2024/02/18 18:02:50+00,2024-02-18 19:17:58+00:00,2024-02-18 19:18:45+00:00,2024/02/18 20:31:10+00,2024/02/18 19:18:22+00,2534,01:02:50,00:47
OH,Suffield,41.014711,-81.33777,2024/02/18 17:59:40+00,2024-02-18 19:14:44+00:00,2024-02-18 19:16:53+00:00,2024/02/18 20:29:10+00,2024/02/18 19:15:48+00,2535,12:59:40,02:09
TX,Horseshoe Bay,30.540758,-98.38057,2024/02/18 17:17:00+00,2024-02-18 18:34:16+00:00,2024-02-18 18:38:34+00:00,2024/02/18 19:57:20+00,2024/02/18 18:36:25+00,2536,12:17:00,04:18
TX,Bluff Dale,32.349674,-98.024873,2024/02/18 17:21:00+00,2024-02-18 18:39:21+00:00,2024-02-18 18:40:15+00:00,2024/02/18 20:00:10+00,2024/02/18 18:39:48+00,2537,12:21:00,00:54
OH,Pepper Pike,41.479386,-81.460207,2024/02/18 18:00:00+00,2024-02-18 19:14:06+00:00,2024-02-18 19:17:49+00:00,2024/02/18 20:29:10+00,2024/02/18 19:15:58+00,2538,01:00:00,03:43
PA,Townville,41.679067,-79.879989,2024/02/18 18:02:30+00,2024-02-18 19:17:06+00:00,2024-02-18 19:19:22+00:00,2024/02/18 20:31:00+00,2024/02/18 19:18:14+00,2539,01:02:30,02:16
OH,Sugar Bush Knolls,41.203242,-81.350955,2024/02/18 17:59:50+00,2024-02-18 19:14:28+00:00,2024-02-18 19:17:28+00:00,2024/02/18 20:29:10+00,2024/02/18 19:15:58+00,2540,12:59:50,03:00
TX,Howe,33.507477,-96.615543,2024/02/18 17:25:10+00,2024-02-18 18:43:22+00:00,2024-02-18 18:44:32+00:00,2024/02/18 20:03:40+00,2024/02/18 18:43:57+00,2541,12:25:10,01:10
TX,Blum,32.141989,-97.397122,2024/02/18 17:21:30+00,2024-02-18 18:38:38+00:00,2024-02-18 18:42:41+00:00,2024/02/18 20:01:00+00,2024/02/18 18:40:40+00,2542,12:21:30,04:03
OH,Perry,41.763674,-81.143013,2024/02/18 18:00:40+00,2024-02-18 19:14:40+00:00,2024-02-18 19:18:30+00:00,2024/02/18 20:29:40+00,2024/02/18 19:16:35+00,2543,01:00:40,03:50
PA,Union City,41.89767,-79.843245,2024/02/18 18:02:50+00,2024-02-18 19:16:55+00:00,2024-02-18 19:20:00+00:00,2024/02/18 20:31:00+00,2024/02/18 19:18:28+00,2544,01:02:50,03:05
OH,Sullivan,41.021093,-82.214713,2024/02/18 17:58:20+00,2024-02-18 19:12:50+00:00,2024-02-18 19:16:24+00:00,2024/02/18 20:28:20+00,2024/02/18 19:14:37+00,2545,12:58:20,03:34
TX,Hubbard,31.846821,-96.799998,2024/02/18 17:21:50+00,2024-02-18 18:39:03+00:00,2024-02-18 18:43:17+00:00,2024/02/18 20:01:30+00,2024/02/18 18:41:10+00,2546,12:21:50,04:14
